Counting,SA1 (UR),LANP - 4 Digit Level,Count
"Persons, Place of Usual Residence",2111402,Not stated,46
"Persons, Place of Usual Residence",2111403,English,231
"Persons, Place of Usual Residence",2111403,Greek,15
"Persons, Place of Usual Residence",2111403,Spanish,11
"Persons, Place of Usual Residence",2111403,Italian,21
"Persons, Place of Usual Residence",2111403,Croatian,5
"Persons, Place of Usual Residence",2111403,Macedonian,4
"Persons, Place of Usual Residence",2111403,Arabic,5
"Persons, Place of Usual Residence",2111403,"Southern Asian Languages, nfd",6
"Persons, Place of Usual Residence",2111403,Tamil,4
"Persons, Place of Usual Residence",2111403,Telugu,6
"Persons, Place of Usual Residence",2111403,Hindi,11
"Persons, Place of Usual Residence",2111403,Assamese,4
"Persons, Place of Usual Residence",2111403,Vietnamese,14
"Persons, Place of Usual Residence",2111403,Thai,6
"Persons, Place of Usual Residence",2111403,Cantonese,6
"Persons, Place of Usual Residence",2111403,Mandarin,4
"Persons, Place of Usual Residence",2111403,Bemba,3
"Persons, Place of Usual Residence",2111403,Auslan,5
"Persons, Place of Usual Residence",2111403,Not stated,33
"Persons, Place of Usual Residence",2111404,English,268
"Persons, Place of Usual Residence",2111404,Greek,21
"Persons, Place of Usual Residence",2111404,Spanish,8
"Persons, Place of Usual Residence",2111404,Italian,40
